City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Sabha,LY,82.27,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
515,Katsuura,JP,77.61,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
516,Kisangani,CD,77.2,clear sky,0.5167,25.2,Grand Ramela Hotel
519,Ardakan,IR,86.27,broken clouds,32.31,54.0175,Ardakan Hotel
524,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
525,Kusti,SD,83.53,overcast clouds,13.1629,32.6635,فندق الكوباري - Kobari Hotel
526,Bima,ID,82.56,overcast clouds,-8.4667,118.7167,Lambitu Hotel
534,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
539,Alexandria,EG,80.06,clear sky,31.2156,29.9553,Royal Crown Hotel
540,Xam Nua,LA,79.41,broken clouds,20.4197,104.0439,Xee Wang Guesthouse
542,Fare,PF,78.84,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
548,Asyut,EG,85.77,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
551,Muscat,OM,89.62,light rain,23.6139,58.5922,Mutrah Hotel
553,Krasnokamensk,RU,80.28,scattered clouds,50.0979,118.0369,Tsentral'naya
557,Araguaina,BR,75.15,broken clouds,-7.1911,-48.2072,Hotel São Vicente
558,Gazanjyk,TM,86.32,clear sky,39.2446,55.5154,Railway motel
563,Sur,OM,81.73,light rain,22.5667,59.5289,Sur Plaza Hotel
565,Tommot,RU,75.09,light rain,58.9564,126.2925,Gostinitsa Tommot
